date,rank,author,title
2018-08-04 00:00:00,84,Carrie Underwood,Cry Pretty
2018-08-04 00:00:00,85,Martin Garrix Featuring Khalid,Ocean
2018-08-04 00:00:00,86,Weezer,Africa
2018-08-04 00:00:00,87,Cole Swindell,Break Up In The End
2018-08-04 00:00:00,88,twenty one pilots,Jumpsuit
2018-08-04 00:00:00,89,The Weeknd,Call Out My Name
2018-08-04 00:00:00,90,Dennis Lloyd,Nevermind
2018-08-04 00:00:00,91,Kanye West,All Mine
2018-08-04 00:00:00,92,Migos,Narcos
2018-08-04 00:00:00,93,Billie Eilish,You Should See Me In A Crown
2018-08-04 00:00:00,94,Eric Church,Desperate Man
2018-08-04 00:00:00,95,Wiz Khalifa Featuring Swae Lee,Hopeless Romantic
2018-08-04 00:00:00,96,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine)
2018-08-04 00:00:00,97,NF,Lie
2018-08-04 00:00:00,98,Kane Brown,Lose It
2018-08-04 00:00:00,99,Drake,Emotionless
2018-08-04 00:00:00,100,Drake,Can't Take A Joke
2017-08-03 18:10:48,1,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
2017-08-03 18:10:48,2,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts
2017-08-03 18:10:48,3,Bruno Mars,That's What I Like
2017-08-03 18:10:48,4,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
2017-08-03 18:10:48,5,French Montana Featuring Swae Lee,Unforgettable
2017-08-03 18:10:48,6,Ed Sheeran,Shape Of You
2017-08-03 18:10:48,7,Imagine Dragons,Believer
2017-08-03 18:10:48,8,Shawn Mendes,There's Nothing Holdin' Me Back
2017-08-03 18:10:48,9,Sam Hunt,Body Like A Back Road
2017-08-03 18:10:48,10,Charlie Puth,Attention
2017-08-03 18:10:48,11,Kendrick Lamar,Humble.
2017-08-03 18:10:48,12,Post Malone Featuring Quavo,Congratulations
2017-08-03 18:10:48,13,Childish Gambino,Redbone
2017-08-03 18:10:48,14,Zedd & Alessia Cara,Stay
2017-08-03 18:10:48,15,The Chainsmokers & Coldplay,Something Just Like This
2017-08-03 18:10:48,16,Lil Uzi Vert,XO TOUR Llif3
2017-08-03 18:10:48,17,Halsey,Now Or Never
2017-08-03 18:10:48,18,Future,Mask Off
2017-08-03 18:10:48,19,Niall Horan,Slow Hands
2017-08-03 18:10:48,20,James Arthur,Say You Won't Let Go
2017-08-03 18:10:48,21,Kygo x Selena Gomez,It Ain't Me
2017-08-03 18:10:48,22,Ed Sheeran,Castle On The Hill
2017-08-03 18:10:48,23,Demi Lovato,Sorry Not Sorry
2017-08-03 18:10:48,24,Khalid,Location
2017-08-03 18:10:48,25,Liam Payne Featuring Quavo,Strip That Down
2017-08-03 18:10:48,26,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels
2017-08-03 18:10:48,27,Selena Gomez Featuring Gucci Mane,Fetish
2017-08-03 18:10:48,28,Julia Michaels,Issues
2017-08-03 18:10:48,29,Playboi Carti,Magnolia
2017-08-03 18:10:48,30,Selena Gomez,Bad Liar
2017-08-03 18:10:48,31,Miley Cyrus,Malibu
2017-08-03 18:10:48,32,David Guetta Featuring Justin Bieber,2U
2017-08-03 18:10:48,33,YFN Lucci Featuring PnB Rock,Everyday We Lit
2017-08-03 18:10:48,34,21 Savage,Bank Account
2017-08-03 18:10:48,35,Migos Featuring Gucci Mane,Slippery
2017-08-03 18:10:48,36,The Chainsmokers Featuring Halsey,Closer
2017-08-03 18:10:48,37,Brett Young,In Case You Didn't Know
2017-08-03 18:10:48,38,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning
2017-08-03 18:10:48,39,Dylan Scott,My Girl
2017-08-03 18:10:48,40,Kesha,Praying
2017-08-03 18:10:48,41,Yo Gotti Featuring Nicki Minaj,Rake It Up
2017-08-03 18:10:48,42,J Balvin & Willy William Featuring Beyonce,Mi Gente
2017-08-03 18:10:48,43,Ayo & Teo,Rolex
2017-08-03 18:10:48,44,Thomas Rhett Featuring Maren Morris,Craving You
2017-08-03 18:10:48,45,Migos Featuring Lil Uzi Vert,Bad And Boujee
2017-08-03 18:10:48,46,KYLE Featuring Lil Yachty,iSpy
2017-08-03 18:10:48,47,Bruno Mars,Versace On The Floor
2017-08-03 18:10:48,48,Maluma,Felices Los 4
2017-08-03 18:10:48,49,Cardi B,Bodak Yellow (Money Moves)
2017-08-03 18:10:48,50,Bruno Mars,24K Magic
2017-08-03 18:10:48,51,Kendrick Lamar,DNA.
2017-08-03 18:10:48,52,Dustin Lynch,Small Town Boy
2017-08-03 18:10:48,53,SZA Featuring Travis Scott,Love Galore
2017-08-03 18:10:48,54,Midland,Drinkin' Problem
2017-08-03 18:10:48,55,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
2017-08-03 18:10:48,56,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe
2017-08-03 18:10:48,57,Billy Currington,Do I Make You Wanna
2017-08-03 18:10:48,58,Hailee Steinfeld,Most Girls
2017-08-03 18:10:48,59,Imagine Dragons,Thunder
2017-08-03 18:10:48,60,Travis Scott,Butterfly Effect
2017-08-03 18:10:48,61,JAY-Z,4:44
2017-08-03 18:10:48,62,Kendrick Lamar Featuring Rihanna,Loyalty.
2017-08-03 18:10:48,63,Portugal. The Man,Feel It Still
2017-08-03 18:10:48,64,Old Dominion,No Such Thing As A Broken Heart
2017-08-03 18:10:48,65,Kane Brown Featuring Lauren Alaina,What Ifs
2017-08-03 18:10:48,66,Cole Swindell,Flatliner
2017-08-03 18:10:48,67,Lady Antebellum,You Look Good
2017-08-03 18:10:48,68,Cheat Codes Featuring Demi Lovato,No Promises
2017-08-03 18:10:48,69,Tee Grizzley,First Day Out
2017-08-03 18:10:48,70,Wisin Featuring Ozuna,Escapate Conmigo
2017-08-03 18:10:48,71,Rascal Flatts,Yours If You Want It
2017-08-03 18:10:48,72,JAY-Z,The Story Of O.J.
2017-08-03 18:10:48,73,Camila Cabello,Crying In The Club
2017-08-03 18:10:48,74,Drake,Passionfruit
2017-08-03 18:10:48,75,French Montana Featuring The Weeknd & Max B,A Lie
2017-08-03 18:10:48,76,Chris Brown,Privacy
2017-08-03 18:10:48,77,Kendrick Lamar Featuring Zacari,Love.
2017-08-03 18:10:48,78,Fifth Harmony Featuring Gucci Mane,Down
2017-08-03 18:10:48,79,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla
2017-08-03 18:10:48,80,Florida Georgia Line Featuring Backstreet Boys,"God, Your Mama, And Me"
2017-08-03 18:10:48,81,Jon Pardi,Heartache On The Dance Floor
2017-08-03 18:10:48,82,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
2017-08-03 18:10:48,83,2 Chainz Featuring Travis Scott,4 AM
2017-08-03 18:10:48,84,Justin Moore,Somebody Else Will
2017-08-03 18:10:48,85,Blake Shelton,Every Time I Hear That Song
2017-08-03 18:10:48,86,Jake Paul & Erika Costell Featuring Uncle Kade,Jerika
2017-08-03 18:10:48,87,Lady Gaga,The Cure
2017-08-03 18:10:48,88,Drake,Signs
2017-08-03 18:10:48,89,Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need
2017-08-03 18:10:48,90,The Weeknd,Reminder
2017-08-03 18:10:48,91,Khalid,Young Dumb & Broke
2017-08-03 18:10:48,92,Nicky Jam,El Amante
2017-08-03 18:10:48,93,AJR,Weak
2017-08-03 18:10:48,94,Brothers Osborne,It Ain't My Fault
2017-08-03 18:10:48,95,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",Subeme La Radio
2017-08-03 18:10:48,96,Kesha Featuring The Dap-Kings Horns,Woman
2017-08-03 18:10:48,97,Calvin Harris Featuring Future & Khalid,Rollin
2017-08-03 18:10:48,98,Kendrick Lamar,Element.
2017-08-03 18:10:48,99,Macklemore Featuring Skylar Grey,Glorious
2017-08-03 18:10:48,100,Metro Boomin Featuring Offset & Drake,No Complaints
2016-08-03 12:21:36,1,Sia Featuring Sean Paul,Cheap Thrills
2016-08-03 12:21:36,2,Drake Featuring WizKid & Kyla,One Dance
2016-08-03 12:21:36,3,Calvin Harris Featuring Rihanna,This Is What You Came For
2016-08-03 12:21:36,4,Justin Timberlake,Can't Stop The Feeling!
2016-08-03 12:21:36,5,The Chainsmokers Featuring Daya,Don't Let Me Down
2016-08-03 12:21:36,6,twenty one pilots,Ride
2016-08-03 12:21:36,7,Rihanna,Needed Me
2016-08-03 12:21:36,8,Kent Jones,Don't Mind
2016-08-03 12:21:36,9,Desiigner,Panda
2016-08-03 12:21:36,10,Adele,Send My Love (To Your New Lover)
2016-08-03 12:21:36,11,Katy Perry,Rise
2016-08-03 12:21:36,12,P!nk,Just Like Fire
2016-08-03 12:21:36,13,Fifth Harmony Featuring Ty Dolla $ign,Work From Home
2016-08-03 12:21:36,14,Meghan Trainor,Me Too
2016-08-03 12:21:36,15,Florida Georgia Line,H.O.L.Y.
2016-08-03 12:21:36,16,Mike Posner,I Took A Pill In Ibiza
2016-08-03 12:21:36,17,Britney Spears Featuring G-Eazy,Make Me...
2016-08-03 12:21:36,18,Drake,Controlla
2016-08-03 12:21:36,19,DJ Khaled Featuring Drake,For Free
2016-08-03 12:21:36,20,Drake Featuring Rihanna,Too Good
2016-08-03 12:21:36,21,Shawn Mendes,Treat You Better
2016-08-03 12:21:36,22,twenty one pilots,Heathens
2016-08-03 12:21:36,23,Rihanna Featuring Drake,Work
2016-08-03 12:21:36,24,Ariana Grande,Into You
2016-08-03 12:21:36,25,Flume Featuring Kai,Never Be Like You
2016-08-03 12:21:36,26,Lukas Graham,7 Years
2016-08-03 12:21:36,27,Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore
2016-08-03 12:21:36,28,Fifth Harmony Featuring Fetty Wap,All In My Head (Flex)
2016-08-03 12:21:36,29,twenty one pilots,Stressed Out
2016-08-03 12:21:36,30,DJ Khaled Featuring Jay Z & Future,I Got The Keys
2016-08-03 12:21:36,31,Beyonce,Sorry
2016-08-03 12:21:36,32,James Bay,Let It Go
2016-08-03 12:21:36,33,Future Featuring The Weeknd,Low Life
2016-08-03 12:21:36,34,D.R.A.M. Featuring Lil Yachty,Broccoli
2016-08-03 12:21:36,35,gnash Featuring Olivia O'Brien,I Hate U I Love U
2016-08-03 12:21:36,36,Ariana Grande,Dangerous Woman
2016-08-03 12:21:36,37,Justin Bieber,Love Yourself
2016-08-03 12:21:36,38,Flo Rida,My House
2016-08-03 12:21:36,39,DNCE,Cake By The Ocean
2016-08-03 12:21:36,40,Kiiara,Gold
2016-08-03 12:21:36,41,Nick Jonas Featuring Tove Lo,Close
2016-08-03 12:21:36,42,ScHoolboy Q Featuring Kanye West,THat Part
2016-08-03 12:21:36,43,Ruth B,Lost Boy
2016-08-03 12:21:36,44,Future,Wicked
2016-08-03 12:21:36,45,Justin Bieber,Sorry
2016-08-03 12:21:36,46,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",All The Way Up
2016-08-03 12:21:36,47,Miranda Lambert,Vice
2016-08-03 12:21:36,48,Dan + Shay,From The Ground Up
2016-08-03 12:21:36,49,Zara Larsson & MNEK,Never Forget You
2016-08-03 12:21:36,50,Selena Gomez,Kill Em With Kindness
2016-08-03 12:21:36,51,Coldplay,Hymn For The Weekend
2016-08-03 12:21:36,52,Carrie Underwood,Church Bells
2016-08-03 12:21:36,53,Eric Church,Record Year
2016-08-03 12:21:36,54,DNCE,Toothbrush
2016-08-03 12:21:36,55,Jon Pardi,Head Over Boots
2016-08-03 12:21:36,56,OneRepublic,Wherever I Go
2016-08-03 12:21:36,57,Wale,My PYT
2016-08-03 12:21:36,58,Jason Aldean,Lights Come On
2016-08-03 12:21:36,59,Kelsea Ballerini,Peter Pan
2016-08-03 12:21:36,60,Sam Hunt,Make You Miss Me
2016-08-03 12:21:36,61,X Ambassadors,Unsteady
2016-08-03 12:21:36,62,Tory Lanez,Luv
2016-08-03 12:21:36,63,Usher Featuring Young Thug,No Limit
2016-08-03 12:21:36,64,Daya,"Sit Still, Look Pretty"
2016-08-03 12:21:36,65,Chris Lane,Fix
2016-08-03 12:21:36,66,Dierks Bentley Featuring Elle King,Different For Girls
2016-08-03 12:21:36,67,Jake Owen,American Country Love Song
2016-08-03 12:21:36,68,5 Seconds Of Summer,Girls Talk Boys
2016-08-03 12:21:36,69,MadeinTYO,Uber Everywhere
2016-08-03 12:21:36,70,Fetty Wap,Wake Up
2016-08-03 12:21:36,71,Kanye West,Famous
2016-08-03 12:21:36,72,Drake Featuring The Throne,Pop Style
2016-08-03 12:21:36,73,French Montana Featuring Kodak Black,Lockjaw
2016-08-03 12:21:36,74,Lil Uzi Vert,Money Longer
2016-08-03 12:21:36,75,Blake Shelton,She's Got A Way With Words
2016-08-03 12:21:36,76,Keith Urban,Wasted Time
2016-08-03 12:21:36,77,Nicky Jam,With You Tonight / Hasta El Amanecer
2016-08-03 12:21:36,78,Luke Bryan,"Huntin', Fishin' And Lovin' Every Day"
2016-08-03 12:21:36,79,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain
2016-08-03 12:21:36,80,Marc E. Bassy Featuring G-Eazy,You & Me
2016-08-03 12:21:36,81,Lukas Graham,Mama Said
2016-08-03 12:21:36,82,Ben Rector,Brand New
2016-08-03 12:21:36,83,Enrique Iglesias Feat. Wisin or Tinashe & Javada,Duele El Corazon
2016-08-03 12:21:36,84,Demi Lovato,Body Say
2016-08-03 12:21:36,85,Meghan Trainor,No
2016-08-03 12:21:36,86,Fergie,M.I.L.F. $
2016-08-03 12:21:36,87,YG Featuring Drake & Kamaiyah,Why You Always Hatin?
2016-08-03 12:21:36,88,David Nail,Night's On Fire
2016-08-03 12:21:36,89,French Montana Featuring Drake,No Shopping
2016-08-03 12:21:36,90,Jason Aldean,A Little More Summertime
2016-08-03 12:21:36,91,Lil Uzi Vert,You Was Right
2016-08-03 12:21:36,92,Major Lazer Featuring Nyla & Fuse ODG,Light It Up
2016-08-03 12:21:36,93,Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem
2016-08-03 12:21:36,94,The Lumineers,Ophelia
2016-08-03 12:21:36,95,Drake,Childs Play
2016-08-03 12:21:36,96,Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
2016-08-03 12:21:36,97,Rihanna,Sex With Me
2016-08-03 12:21:36,98,PARTYNEXTDOOR Featuring Drake,Come And See Me
2016-08-03 12:21:36,99,Dreezy Featuring Jeremih,Body
2016-08-03 12:21:36,100,Zara Larsson,Lush Life
2015-08-04 06:32:24,1,OMI,Cheerleader
2015-08-04 06:32:24,2,The Weeknd,Can't Feel My Face
2015-08-04 06:32:24,3,Silento,Watch Me
2015-08-04 06:32:24,4,Taylor Swift Featuring Kendrick Lamar,Bad Blood
2015-08-04 06:32:24,5,Wiz Khalifa Featuring Charlie Puth,See You Again
2015-08-04 06:32:24,6,Fetty Wap,Trap Queen
2015-08-04 06:32:24,7,Fetty Wap Featuring Monty,My Way
2015-08-04 06:32:24,8,Rachel Platten,Fight Song
2015-08-04 06:32:24,9,WALK THE MOON,Shut Up And Dance
2015-08-04 06:32:24,10,Major Lazer & DJ Snake Featuring MO,Lean On
2015-08-04 06:32:24,11,The Weeknd,The Hills
2015-08-04 06:32:24,12,Fifth Harmony Featuring Kid Ink,Worth It
2015-08-04 06:32:24,13,Skrillex & Diplo With Justin Bieber,Where Are U Now
2015-08-04 06:32:24,14,Andy Grammer,"Honey, I'm Good."
2015-08-04 06:32:24,15,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama
2015-08-04 06:32:24,16,Selena Gomez Featuring A$AP Rocky,Good For You
2015-08-04 06:32:24,17,Mark Ronson Featuring Bruno Mars,Uptown Funk!
2015-08-04 06:32:24,18,Fetty Wap Featuring Remy Boyz,679
2015-08-04 06:32:24,19,Jason Derulo,Want To Want Me
2015-08-04 06:32:24,20,Ed Sheeran,Photograph
2015-08-04 06:32:24,21,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be
2015-08-04 06:32:24,22,5 Seconds Of Summer,She's Kinda Hot
2015-08-04 06:32:24,23,Maroon 5,Sugar
2015-08-04 06:32:24,24,Demi Lovato,Cool For The Summer
2015-08-04 06:32:24,25,Jidenna Featuring Roman GianArthur,Classic Man
2015-08-04 06:32:24,26,The Weeknd,Earned It (Fifty Shades Of Grey)
2015-08-04 06:32:24,27,Ed Sheeran,Thinking Out Loud
2015-08-04 06:32:24,28,Rihanna,B**** Better Have My Money
2015-08-04 06:32:24,29,Rich Homie Quan,Flex (Ooh Ooh Ooh)
2015-08-04 06:32:24,30,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You
2015-08-04 06:32:24,31,Fall Out Boy,Uma Thurman
2015-08-04 06:32:24,32,Luke Bryan,Kick The Dust Up
2015-08-04 06:32:24,33,Ellie Goulding,Love Me Like You Do
2015-08-04 06:32:24,34,Tove Lo,Talking Body
2015-08-04 06:32:24,35,DJ Snake & AlunaGeorge,You Know You Like It
2015-08-04 06:32:24,36,Little Big Town,Girl Crush
2015-08-04 06:32:24,37,T-Wayne,Nasty Freestyle
2015-08-04 06:32:24,38,Sam Hunt,Take Your Time
2015-08-04 06:32:24,39,Sam Hunt,House Party
2015-08-04 06:32:24,40,Trey Songz,Slow Motion
2015-08-04 06:32:24,41,Sia,Elastic Heart
2015-08-04 06:32:24,42,Pitbull Featuring Chris Brown,Fun
2015-08-04 06:32:24,43,Kid Ink Featuring DeJ Loaf,Be Real
2015-08-04 06:32:24,44,Brantley Gilbert,One Hell Of An Amen
2015-08-04 06:32:24,45,Thomas Rhett,Crash And Burn
2015-08-04 06:32:24,46,Meek Mill Featuring Drake,R.I.C.O.
2015-08-04 06:32:24,47,Taylor Swift,Shake It Off
2015-08-04 06:32:24,48,Charlie Puth Featuring Meghan Trainor,Marvin Gaye
2015-08-04 06:32:24,49,Jason Aldean,Tonight Looks Good On You
2015-08-04 06:32:24,50,X Ambassadors,Renegades
2015-08-04 06:32:24,51,Zac Brown Band,Loving You Easy
2015-08-04 06:32:24,52,Eric Church,Like A Wrecking Ball
2015-08-04 06:32:24,53,Chris Janson,Buy Me A Boat
2015-08-04 06:32:24,54,Shawn Mendes,Stitches
2015-08-04 06:32:24,55,Jeremih Featuring J. Cole,Planez
2015-08-04 06:32:24,56,Flo Rida Featuring Robin Thicke & Verdine White,"I Don't Like It, I Love It"
2015-08-04 06:32:24,57,Keith Urban,"John Cougar, John Deere, John 3:16"
2015-08-04 06:32:24,58,Blake Shelton,Sangria
2015-08-04 06:32:24,59,Michael Ray,Kiss You In The Morning
2015-08-04 06:32:24,60,Calvin Harris & Disciples,How Deep Is Your Love
2015-08-04 06:32:24,61,Rae Sremmurd,This Could Be Us
2015-08-04 06:32:24,62,Canaan Smith,Love You Like That
2015-08-04 06:32:24,63,Nicki Minaj,The Night Is Still Young
2015-08-04 06:32:24,64,Maroon 5,This Summer's Gonna Hurt...
2015-08-04 06:32:24,65,Frankie Ballard,Young & Crazy
2015-08-04 06:32:24,66,Dustin Lynch,Hell Of A Night
2015-08-04 06:32:24,67,Brad Paisley,Crushin' It
2015-08-04 06:32:24,68,Future Featuring Drake,Where Ya At
2015-08-04 06:32:24,69,Brett Eldredge,Lose My Mind
2015-08-04 06:32:24,70,Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness)
2015-08-04 06:32:24,71,Adam Lambert,Ghost Town
2015-08-04 06:32:24,72,J. Cole,Wet Dreamz
2015-08-04 06:32:24,73,Future,Commas
2015-08-04 06:32:24,74,Jake Owen,Real Life
2015-08-04 06:32:24,75,Sage The Gemini Featuring Nick Jonas,Good Thing
2015-08-04 06:32:24,76,Kelsea Ballerini,Love Me Like You Mean It
2015-08-04 06:32:24,77,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
2015-08-04 06:32:24,78,Pia Mia Featuring Chris Brown & Tyga,Do It Again
2015-08-04 06:32:24,79,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",How Many Times
2015-08-04 06:32:24,80,Echosmith,Bright
2015-08-04 06:32:24,81,Luke Bryan,Strip It Down
2015-08-04 06:32:24,82,Wale Featuring Usher,The Matrimony
2015-08-04 06:32:24,83,Tori Kelly,Should've Been Us
2015-08-04 06:32:24,84,Zedd Featuring Jon Bellion,Beautiful Now
2015-08-04 06:32:24,85,R. City Featuring Adam Levine,Locked Away
2015-08-04 06:32:24,86,Elle King,Ex's & Oh's
2015-08-04 06:32:24,87,Janelle Monae & Jidenna,Yoga
2015-08-04 06:32:24,88,Cam,Burning House
2015-08-04 06:32:24,89,Maddie & Tae,Fly
2015-08-04 06:32:24,90,Kendrick Lamar,Alright
2015-08-04 06:32:24,91,Chris Young,I'm Comin' Over
2015-08-04 06:32:24,92,Easton Corbin,Baby Be My Love Song
2015-08-04 06:32:24,93,Old Dominion,Break Up With Him
2015-08-04 06:32:24,94,Florida Georgia Line,Sippin' On Fire
2015-08-04 06:32:24,95,Future,Blow A Bag
2015-08-04 06:32:24,96,twenty one pilots,Tear In My Heart
2015-08-04 06:32:24,97,Big Sean Featuring Kanye West & John Legend,One Man Can Change The World
2015-08-04 06:32:24,98,Florida Georgia Line,Anything Goes
2015-08-04 06:32:24,99,Kenny Chesney,Save It For A Rainy Day
2015-08-04 06:32:24,100,Ciara,Dance Like We're Making Love
2014-08-04 00:43:12,1,MAGIC!,Rude
2014-08-04 00:43:12,2,Iggy Azalea Featuring Charli XCX,Fancy
2014-08-04 00:43:12,3,Sam Smith,Stay With Me
2014-08-04 00:43:12,4,Nico & Vinz,Am I Wrong
2014-08-04 00:43:12,5,Ariana Grande Featuring Iggy Azalea,Problem
2014-08-04 00:43:12,6,Maroon 5,Maps
2014-08-04 00:43:12,7,Disclosure Featuring Sam Smith,Latch
2014-08-04 00:43:12,8,John Legend,All Of Me
2014-08-04 00:43:12,9,Sia,Chandelier
2014-08-04 00:43:12,10,Calvin Harris,Summer
2014-08-04 00:43:12,11,Pharrell Williams,Happy
2014-08-04 00:43:12,12,Jason Aldean,Burnin' It Down
